Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
mobile,,,,26-06-2024 15:18:52,26-06-2024 15:19:25,33.426s,PASSED
,,,,,,,
Test Cases/Mobile/note,,,,26-06-2024 15:18:52,26-06-2024 15:19:25,33.258s,PASSED
"startExistingApplication(""com.miui.notes"")",,,,26-06-2024 15:18:52,26-06-2024 15:19:11,18.722s,PASSED
"tap(findTestObject(""Object Repository/mobile/android.widget.ImageView""), 0)",,,,26-06-2024 15:19:11,26-06-2024 15:19:14,3.270s,PASSED
"setText(findTestObject(""Object Repository/mobile/android.widget.EditText - Title""), ""Test"", 0)",,,,26-06-2024 15:19:14,26-06-2024 15:19:19,4.650s,PASSED
"setText(findTestObject(""Object Repository/mobile/android.widget.EditText - Start typing  Create a mind map""), ""Coba mobile"", 0)",,,,26-06-2024 15:19:19,26-06-2024 15:19:22,3.569s,PASSED
"tap(findTestObject(""Object Repository/mobile/android.widget.ImageView (1)""), 0)",,,,26-06-2024 15:19:22,26-06-2024 15:19:23,1.194s,PASSED
closeApplication(),,,,26-06-2024 15:19:23,26-06-2024 15:19:25,1.582s,PASSED
